,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
8438,0,75.0,65.0,28.0,4.2,31.2737,121.4593,31.2684,121.4568
10826,0,6.0,6.0,29.0,4.2,31.2014,121.4688,31.2064,121.4677
24867,0,75.0,86.0,34.0,4.800000000000001,31.2737,121.4593,31.286,121.4629
2528,0,75.0,86.0,40.0,4.6,31.2767,121.45,31.2817,121.469
2505,0,75.0,86.0,34.0,4.800000000000001,31.2751,121.4579,31.2873,121.468
18683,1,68.0,85.0,58.0,6.9,31.2656,121.4871,31.2894,121.4541
28187,1,11.0,10.0,30.0,4.6,31.2104,121.4115,31.219,121.4067
10827,1,6.0,7.0,32.0,4.4,31.2014,121.4688,31.2022,121.4789
18608,1,7.0,15.0,44.0,5.7,31.2025,121.4797,31.2189,121.4561
11548,1,71.0,61.0,32.0,4.1,31.2719,121.4121,31.2642,121.418
21981,1,7.0,17.0,39.0,4.6,31.2015,121.4765,31.2178,121.4716
14435,1,7.0,18.0,29.0,3.9,31.2084,121.474,31.2107,121.4836
29801,2,80.0,81.0,32.0,4.5,31.2867,121.4038,31.2823,121.4174
15452,2,75.0,65.0,37.0,4.4,31.2795,121.4575,31.2653,121.4556
28192,2,61.0,80.0,41.0,5.3,31.2635,121.4193,31.2838,121.4087
22361,2,61.0,50.0,34.0,4.5,31.27,121.4154,31.2592,121.4075
10570,2,23.0,23.0,28.0,4.3,31.2209,121.4321,31.2264,121.4374
18635,2,80.0,81.0,32.0,3.8,31.2867,121.4038,31.2875,121.4128
8053,3,61.0,61.0,26.0,3.8,31.265,121.4126,31.2614,121.4161
30836,3,75.0,75.0,28.0,3.5,31.2701,121.4523,31.271,121.4562
16371,3,18.0,18.0,24.0,3.5,31.2111,121.48,31.2101,121.4837
21085,3,64.0,64.0,26.0,3.8,31.267,121.447,31.263,121.4439
27537,3,18.0,18.0,29.0,3.8,31.216,121.4829,31.2122,121.487
18779,3,18.0,29.0,42.0,5.3,31.2143,121.4802,31.228,121.4955
17490,3,35.0,34.0,35.0,4.6000000000000005,31.2343,121.4579,31.2339,121.4424
9459,4,48.0,67.0,41.0,5.2,31.2465,121.4877,31.2665,121.4766
21982,4,7.0,6.0,27.0,4.0,31.2084,121.474,31.2087,121.4694
13534,4,18.0,9.0,40.0,5.5,31.2194,121.4891,31.2004,121.4963
7617,4,18.0,28.0,34.0,4.2,31.2194,121.4891,31.2277,121.4805
6063,5,13.0,21.0,39.0,4.8,31.2133,121.4319,31.2244,121.4154
1175,5,58.0,68.0,28.0,4.1,31.2561,121.4855,31.2625,121.4843
16030,5,24.0,36.0,43.0,5.6000000000000005,31.2203,121.4462,31.2374,121.4647
6036,5,13.0,13.0,29.0,4.0,31.2112,121.4321,31.2178,121.4336
26113,5,12.0,12.0,28.0,3.9,31.2123,121.4268,31.212,121.4204
18570,6,24.0,23.0,34.0,4.6000000000000005,31.2248,121.4449,31.2266,121.4315
28773,6,75.0,42.0,56.0,7.0,31.2762,121.457,31.247,121.425
18361,6,71.0,70.0,24.0,4.1,31.2729,121.4109,31.2728,121.4081
6441,6,75.0,42.0,62.0,7.1,31.2798,121.4554,31.2492,121.4201
27707,6,44.0,54.0,34.0,4.800000000000001,31.2421,121.4471,31.257,121.443
12523,6,24.0,34.0,25.0,3.6,31.2291,121.4439,31.2327,121.4429
9218,6,24.0,14.0,27.0,4.0,31.2213,121.4438,31.2172,121.4414
16364,7,12.0,11.0,32.0,4.3,31.2114,121.4256,31.2153,121.4149
29254,7,71.0,60.0,30.0,3.8,31.2747,121.4126,31.2679,121.4095
2569,7,54.0,53.0,35.0,4.4,31.2597,121.4484,31.2522,121.4385
21980,7,7.0,8.0,31.0,4.4,31.2008,121.4797,31.2061,121.4887
29125,7,75.0,65.0,31.0,4.0,31.2761,121.457,31.2688,121.4552
23970,7,75.0,84.0,33.0,4.2,31.279,121.4546,31.2859,121.4427
15061,7,61.0,60.0,29.0,4.1,31.265,121.4126,31.2692,121.4067
10624,8,6.0,16.0,29.0,4.3,31.2029,121.4614,31.2117,121.4621
14061,8,75.0,64.0,37.0,4.800000000000001,31.2799,121.4537,31.2663,121.4486
14522,8,15.0,14.0,28.0,4.0,31.2152,121.455,31.2174,121.4454
20630,8,72.0,62.0,34.0,4.4,31.2737,121.427,31.2612,121.4245
32671,8,75.0,74.0,32.0,4.0,31.2782,121.4571,31.2743,121.4475
32298,8,25.0,24.0,31.0,4.6,31.2285,121.4504,31.2215,121.4415
29961,9,71.0,71.0,25.0,3.5,31.2796,121.4179,31.2753,121.4171
2184,9,75.0,65.0,26.0,4.1,31.2701,121.4523,31.266,121.4502
25219,9,75.0,65.0,29.0,4.5,31.2714,121.4541,31.2647,121.4578
26815,9,58.0,67.0,35.0,4.7,31.258,121.4878,31.2649,121.4772
2258,9,31.0,31.0,28.0,4.1,31.2354,121.4196,31.2331,121.4117
7629,9,71.0,71.0,29.0,4.2,31.2786,121.4165,31.2777,121.4101
3041,9,31.0,41.0,31.0,4.3,31.236,121.4163,31.2437,121.4115
